hash,temp
20/3/18 18:33,29.83
20/3/18 18:43,29.73
20/3/18 18:53,29.63
20/3/18 19:03,29.57
20/3/18 19:13,29.6
20/3/18 19:23,29.56
20/3/18 19:33,29.46
20/3/18 19:43,29.46
20/3/18 19:53,29.3
20/3/18 20:03,29.46
20/3/18 20:13,29.6
20/3/18 20:23,29.63
20/3/18 20:33,29.66
20/3/18 20:43,29.66
20/3/18 20:53,29.63
20/3/18 21:03,29.6
20/3/18 21:13,29.53
20/3/18 21:23,29.56
20/3/18 21:33,29.6
20/3/18 21:43,29.56
20/3/18 21:53,29.56
20/3/18 22:03,29.53
20/3/18 22:13,29.56
20/3/18 22:23,29.56
20/3/18 22:33,29.5
20/3/18 22:43,29.5
20/3/18 22:53,29.46
20/3/18 23:03,29.4
20/3/18 23:13,29.37
20/3/18 23:23,29.4
20/3/18 23:33,29.2
20/3/18 23:43,29
20/3/18 23:53,28.4
21/3/18 0:03,28.13
21/3/18 0:13,28.13
21/3/18 0:23,28.16
21/3/18 0:33,28.23
21/3/18 0:43,28.06
21/3/18 0:53,27.8
21/3/18 1:03,27.57
21/3/18 1:13,27.7
21/3/18 1:23,27.67
21/3/18 1:33,27.53
21/3/18 1:43,27.4
21/3/18 1:53,27.26
21/3/18 2:03,27.27
21/3/18 2:13,27.33
21/3/18 2:23,27.23
21/3/18 2:33,27.26
21/3/18 2:43,27.23
21/3/18 2:53,27.2
21/3/18 3:03,27.2
21/3/18 3:13,27.33
21/3/18 3:23,27.4
21/3/18 3:33,27.47
21/3/18 3:43,27.26
21/3/18 3:53,27.03
21/3/18 4:03,26.8
21/3/18 4:13,26.8
21/3/18 4:23,27
21/3/18 4:33,27
21/3/18 4:43,27.2
21/3/18 4:53,27.13
21/3/18 5:03,26.93
21/3/18 5:13,27
21/3/18 5:23,27.13
21/3/18 5:33,27.33
21/3/18 5:43,27.56
21/3/18 5:53,27.53
21/3/18 6:03,27.23
21/3/18 6:13,27.36
21/3/18 6:23,27.73
21/3/18 6:33,27.97
21/3/18 6:43,28.07
21/3/18 6:53,28.27
21/3/18 7:03,28.33
21/3/18 7:13,28.46
21/3/18 7:23,28.56
21/3/18 7:33,28.7
21/3/18 7:43,28.73
21/3/18 7:53,28.63
21/3/18 8:03,28.03
21/3/18 8:13,28.1
21/3/18 8:23,28.57
21/3/18 8:33,28.13
21/3/18 8:43,27.76
21/3/18 8:53,27.83
21/3/18 9:03,28.13
21/3/18 9:13,27.9
21/3/18 9:23,27.9
21/3/18 9:33,27.9
21/3/18 9:43,27.73
21/3/18 9:53,28.03
21/3/18 10:03,27.83
21/3/18 10:13,27.96
21/3/18 10:23,28.33
21/3/18 10:33,28.33
21/3/18 10:43,28.23
21/3/18 11:03,29.13
21/3/18 11:13,29.17
21/3/18 11:23,29.03
21/3/18 11:33,29.07
21/3/18 11:43,29
21/3/18 11:53,28.86
21/3/18 12:03,28.76
21/3/18 12:13,28.56
21/3/18 12:23,28.7
21/3/18 12:33,28.26
21/3/18 12:43,28.43
21/3/18 12:53,28.73
21/3/18 13:03,28.6
21/3/18 13:13,28.3
21/3/18 13:23,27.63
21/3/18 13:33,27.43
21/3/18 13:43,27.53
21/3/18 13:53,27.8
21/3/18 14:03,27.8
21/3/18 14:13,27.9
21/3/18 14:23,27.63
21/3/18 14:33,27.37
21/3/18 14:43,27.27
21/3/18 14:53,27.5
21/3/18 15:03,27.76
21/3/18 15:13,27.76
21/3/18 15:23,28
21/3/18 15:33,27.96
21/3/18 15:43,28.07
21/3/18 15:53,28.17
21/3/18 16:03,28.3
21/3/18 16:13,28.43
21/3/18 16:23,28.5
21/3/18 16:33,28.33
21/3/18 16:43,28.37
21/3/18 16:53,28.2
21/3/18 17:03,27.53
21/3/18 17:13,26.9
21/3/18 17:23,26.73
21/3/18 17:33,26.46
21/3/18 17:43,26.53
21/3/18 17:53,26.87
21/3/18 18:03,26.8
21/3/18 18:13,27
21/3/18 18:23,27.23
21/3/18 18:33,27.2
21/3/18 18:43,27.13
21/3/18 18:53,27.6
21/3/18 19:03,27.7
21/3/18 19:13,27.83
21/3/18 19:23,27.33
21/3/18 19:33,27.4
21/3/18 19:43,27.56
21/3/18 19:53,27.8
21/3/18 20:03,27.83
21/3/18 20:13,27.87
21/3/18 20:23,27.66
21/3/18 20:33,27.73
21/3/18 20:43,27.83
21/3/18 20:53,27.9
21/3/18 21:03,27.9
21/3/18 21:13,27.93
21/3/18 21:23,27.9
21/3/18 21:33,27.9
21/3/18 21:43,27.86
21/3/18 21:53,27.9
